코드칼럼,소속 테이블,코드명,구분 기준,값의 범위,형식,확장 규칙,값을 정하는 주체
mtn_yn,ref.lot · ref.building,산여부,지번 앞에 홑글자 「산」이 있는가,0 대지 · 1 산,varchar(1),두 값으로 닫힌다. 원천 문자를 그대로 받는다,도로명주소법 시행령 제56조①
udgd_yn,ref.address,지하여부,건물번호 앞에 지하 표시가 있는가,0 지상 · 1 지하 · 2 공중 · 3 수상,varchar(1),원천 문자를 그대로 받는다,원천
udgd_se,ref.unit · ref.unit_lookup,지하구분,상세위치가 지하인가,0 일반 · 1 지하,varchar(1),두 값으로 닫힌다. 원천 문자를 그대로 받는다,원천
aptcpx_se,ref.address,공동주택구분,등록주소가 공동주택 자리인가,원천 코드값을 그대로 받는다,varchar(1),원천이 값을 더하면 그대로 들어온다,원천
aptcpx_yn,ref.building,공동주택여부,건물이 공동주택인가,0 비공동주택 · 1 공동주택,varchar(1),두 값으로 닫힌다. 어느 법 기준인지는 [확인 필요],원천
emd_se,ref.road_emd,읍면동구분,도로명이 걸친 자리가 어느 단계인가,2 = 미부여. 나머지 값은 [확인 필요],varchar(1),원천이 정한다,원천
use_yn,ref.road,사용여부,도로명을 지금 쓰는가,전량 0으로 온다. 0이 사용이다,varchar(1),원천이 정한다,원천
stts,ref.building,상태,건물이 살아 있는가 폐지됐는가,0 사용 · 1 폐지,varchar(1),규약의 예외다. 원천 use_yn과 같은 뜻이라 같은 문자를 쓴다,우리
stts,ref.address,상태,등록주소가 살아 있는가 폐지됐는가,0 사용 · 1 폐지,varchar(1),ref.building.stts와 같은 규칙이다,우리
stp,ref.region,단계,법정동코드 10자리에서 어디까지 채워졌는가,1 시도 · 2 시군구 · 3 읍면동 · 4 리,smallint,smallint라 문자가 아니다. ref.name_map은 5 도로명을 더 쓴다,우리
src,ref.unit · ref.unit_lookup,출처,상세주소를 어느 배포본에서 읽었는가,S 시군구용 · L 건축물대장,varchar(1),상세주소DB는 시군구용과 같은 자료라 값이 아니다. 배포본이 늘면 값이 는다,우리
tkn_se,ref.token,토큰구분,이 이름이 어느 표기 갈래에 속하는가,R 도로명 · J 지번 · B 건물이름 · H 행정동,varchar(1),표기 갈래가 늘면 값이 는다,우리
crt_src,ref.name_map · ref.addr_map,생성출처,이 대응을 무엇이 만들었는가,B 배치비교 · P 과거연동 · E 외부조회,varchar(1),만드는 경로가 늘면 값이 는다. svc.legacy_map은 idnty_src를 따로 쓴다,우리
strtg_se,svc.request,전략구분,어느 API 진입점으로 들어왔는가,C 교정 · D 검출,varchar(1),진입점이 늘면 값이 는다. 하나로 합치지 않는다,우리
bldg_jgmt,svc.result,건물판정,남은 건물 후보가 몇이고 버린 조각이 있는가,C 확실한 성공 · R 확인 권장 · M 후보 여럿 · F 실패 · S 수정 제안,varchar(1),등급은 후보 수가 정한다. 조건이 늘어도 사유 쪽에 값을 더하고 등급은 늘리지 않는다,우리
daddr_jgmt,svc.result,상세판정,동·층·호를 하나로 좁혔는가,C 확정 · E 미입력 · M 불일치 · R 확인 권장 · N 해당 없음,varchar(1),미입력은 사용자가 안 쓴 것이고 해당 없음은 건물에 상세주소가 없는 것이라 글자를 갈랐다,우리
rsn_cd,svc.result,사유코드,고칠 방향을 무엇으로 주는가,열일곱. 목록은 사유코드정의서가 든다,varchar(30),더하는 것은 열려 있다. 빼는 것은 과거 줄이 뜻을 잃으므로 설계로 돌아온다,우리
btch_se,svc.load_run,배치구분,어느 배치로 부른 실행인가,I 최초적재 · D 일반영 · M 월대사 · P 과거연동,varchar(1),배치가 늘면 값이 는다,우리
data_se,svc.load_run,자료구분,받은 폴더가 전체분인가 변동분인가,F 전체분 · C 변동분,varchar(1),폴더 이름 full·changes와 같은 글자다. 두 값으로 닫힌다,원천
clot_se,svc.load_run,호출구분,사람이 불렀는가 자동으로 돌았는가,A 자동 · M 수동,varchar(1),두 값으로 닫힌다,우리
excn_rslt,svc.load_run,실행결과,실행이 어떻게 끝났는가,R 도는중 · S 성공 · F 실패,varchar(1),「도는중」이 값이라 같은 폴더를 동시에 두 번 넣는 것을 막는다,우리
load_trgt_se,svc.load_file,적재대상구분,적재 대상 일곱 중 어느 자료인가,B 건물정보 · R 도로명코드 · A 도로명주소한글 · J 관련지번 · S 상세주소표시(시군구용) · L 상세주소표시(건축물대장) · D 상세주소동표시,varchar(1),S와 L은 ref.unit.src와 일부러 맞췄다. 적재 대상이 늘면 값이 늘고 제외한 파일에서는 빈다,우리
excl_rsn_cd,svc.load_file,제외사유코드,왜 적재하지 않았는가,NOT_TARGET 적재대상아님 · REFERENCE 근거자료 · UNKNOWN 모르는파일,varchar(10),문자가 아니라 이름이다. 더하는 것은 열려 있고 처리결과가 「제외」일 때만 찬다,우리
prcs_rslt,svc.load_file,처리결과,파일 한 줄이 어떻게 끝났는가,S 성공 · F 실패 · E 제외,varchar(1),성공·실패는 excn_rslt와 같은 글자다. 제외가 값으로 선다,우리
idnty_src,svc.legacy_map,규명출처,옛 표기와 등록주소를 무엇으로 이었는가,E 외부조회 · I 내부판정,varchar(1),E는 crt_src의 외부조회와 같은 글자다. 규명 수단이 늘면 값이 는다,우리
