사유코드,내는 자리,사유 종류,등급,뜻,근거
NOT_AN_ADDRESS,관문,입력 오류,실패,사전에서 찾은 조각이 하나도 없다,03-pipeline 0-1절 관문 · 4절
SIDO_NOT_FOUND,파서 · 계층 조회,입력 오류,실패 · 수정 제안,시·도 자리를 못 맞췄다,03-pipeline 2절 상태 전이표
SGG_NOT_FOUND,계층 조회,입력 오류,실패 · 수정 제안,시·군·구 자리를 못 맞췄다,03-pipeline 2절 상태 전이표
ROAD_TOKEN_NOT_FOUND,파서,입력 오류,실패,시군구·행정구·읍면 뒤 조각이 어느 사전에도 안 걸렸다,03-pipeline 2절 상태 전이표
ROAD_NAME_NOT_FOUND,역조회,입력 오류,실패,그 이름의 도로명이 전국에 없다,03-pipeline 4-2-1절
BLDG_NO_NOT_FOUND,도로명 갈래,입력 오류,실패,도로명은 있으나 그 건물번호가 없다,03-pipeline 2절 · 4-2-1절
BLDG_NO_NOT_FOUND_NATIONWIDE,역조회,입력 오류,실패,도로명은 있으나 그 번지가 어디에도 없다,03-pipeline 4-2-1절
JIBUN_NOT_FOUND,지번 갈래,입력 오류,실패,법정동 뒤 지번을 못 맞췄다,03-pipeline 2절 상태 전이표
ADMIN_DONG_USED,행정동 판정,참조 데이터 없음,실패,행정동으로 쓰였고 법정동 대응표가 없다. A3의 응답 코드다,03-pipeline 0-1절 행정동
SGG_AMBIGUOUS,역조회,정보 부족,후보 여럿,시군구 후보가 2~10이다. 검출 전략이 목록을 다 적는다,03-pipeline 4-2-1절
SGG_TOO_MANY,역조회,정보 부족,후보 여럿,시군구 후보가 11 이상이다. 목록을 비우고 개수만 낸다,03-pipeline 4-2-1절
BLDG_NAME_TOO_MANY,건물이름 갈래,정보 부족,후보 여럿,건물 이름 후보가 상한 열을 넘었다. 목록을 비우고 개수만 낸다,03-pipeline 2절 ② 조회
JIBUN_AMBIGUOUS,합치기,정보 부족,확인 권장,지번이 등록주소 여럿을 가리켰고 도로명이 그중 하나로 좁혔다. 팝업이 첫 후보를 자동으로 채웠을 수 있다,03-pipeline 0-1절 ② 합치기
SGG_INFERRED,역조회,정보 부족,확인 권장,도로명과 건물번호로 시·군·구를 채웠다,03-pipeline 4절 · 4-2-1절
UNIT_TOKEN_RESTORED,인덱스 기반 끊기,입력 오류,확인 권장,단위 표기가 빠진 조각을 인덱스가 복원했다. A1의 응답 코드다,03-pipeline 4절 · 2절 ①-2
LEGACY_NAME_MAPPED,이름 대응 사전,입력 오류,확인 권장,옛 표기를 지금 표기로 갈아 끼웠다. A4·A5의 응답 코드다,03-pipeline 4절 · 8-7절
TYPO_CORRECTED,파서,입력 오류,확인 권장,자모 거리 안의 닮은 이름으로 고쳐 읽었다. A2의 응답 코드다,03-pipeline 2절 ① 파싱
PART_DISCARDED,합치기,입력 오류,확인 권장,자리를 정하는 데 안 쓴 조각이 있다. 무엇을 버렸는지는 값으로 적는다,03-pipeline 4절
