색인명,테이블,칼럼,INCLUDE,무엇을 받나,비고
ix_address_road4,ref.address,"road_nm_cd, udgd_yn, bmno, bsno",stdg_cd,4칸 묶음 조회 · 역조회,유일 색인으로 걸지 않는다. 전국 10건이 겹친다
ix_address_stdg,ref.address,stdg_cd,,시군구로 좁히기,
ix_building_addr,ref.building,road_nm_addr_mng_no,,주소자리 → 건물 목록,
ix_building_replot,ref.building,"rprs_stdg_cd, rprs_mtn_yn, rprs_mno, rprs_sno",,대표지번 갈래,
pk_address_lot,ref.address_lot,기본키,,관련지번 갈래,별도 색인이 필요 없다
pk_unit_lookup,ref.unit_lookup,기본키,,동·층·호 조회 · 자리 단위 삭제,
ix_unit_bldg,ref.unit,bldg_mng_no,,건물 → 상세위치,
ix_token_se,ref.token,"tkn_se, tkn",,사전 적재,
pk_addr_map,ref.addr_map,기본키,,옛 자리 → 새 자리,실재 확인이 후보를 다 지운 뒤에만 친다
ix_name_map_cd,ref.name_map,crsp_cd,,대응 비교가 코드로 기존 줄을 찾는다,옛 이름 조회는 메모리 사전이 받는다
ix_token_prefix,ref.token,tkn varchar_pattern_ops,,접두사 비교,기본 색인은 LIKE '강남%'를 안 탄다. 콜레이션 때문이다
(색인),svc.load_run,기본키,,실행 조회,더 만들지 않는다. 하루 한 줄이라 스캔이 싸다
(부분 색인),ref.building,WHERE stts = '0',,유효 건물만,만들지 않는다. 폐지 비율을 재기 전까지는 값이 안 나온다
